,Title,Genre,Duration,Rating,voting
127,Chantal in Fairyland,fantasy,1h 58m,4.6, 3K
128,Warchief,fantasy,1h 34m,2.5, 669
129,Rebellious,fantasy,1h 34m,6.1, 298
130,The Invisibles,fantasy,1h 51m,5.9, 697
131,"Love, Danielle",fantasy,1h 19m,8.7, 67
132,Bloody Mary,fantasy,1h 12m,3.2, 59
133,Empire Queen: The Golden Age of Magic,fantasy,2h 28m,3.5, 374
134,The Green Dinosaur,fantasy,1h 33m,6.2, 314
135,"Die Heinzels: Neue Mützen, Neue Mission",fantasy,1h 16m,5.9, 181
136,The Black Hole,fantasy,1h 55m,6.0, 367
137,My Oni Girl,fantasy,1h 52m,6.0, 2.2K
138,The Proud Princess,fantasy,1h 24m,6.2, 241
139,The Keepers of the 5 Kingdoms,fantasy,1h 49m,4.1, 260
140,Unspeakable: Beyond the Wall of Sleep,fantasy,1h 30m,3.5, 182
141,Panda Bear in Africa,fantasy,1h 24m,5.5, 465
142,Angelo dans la forêt mystérieuse,fantasy,1h 21m,6.2, 291
143,Elli and Her Monster Team,fantasy,1h 26m,4.9, 145
144,Heresy,fantasy,1h 1m,6.7, 419
145,Vertical,fantasy,1h 51m,4.9, 167
146,Big City Greens the Movie: Spacecation,fantasy,1h 23m,6.2, 667
147,Phallacies,fantasy,1h 41m,6.7, 17
148,Seven Cemeteries,fantasy,1h 24m,4.6, 745
149,My Future You,fantasy,1h 49m,7.2, 399
150,Videotheque,fantasy,1h 52m,4.7, 222
151,Seven Seas Seven Hills,fantasy,1h 30m,7.1, 115
152,Witch,fantasy,1h 47m,4.8, 1.5K
153,The Casagrandes Movie,fantasy,1h 29m,5.6, 763
154,Perdiendo el Juicio,fantasy,1h 30m,7.6, 24
155,Perfect Blue,fantasy,N/A,8.0, 15
156,Balestra,fantasy,2h 25m,5.1, 578
157,Sanatorium Under the Sign of the Hourglass,fantasy,1h 15m,5.8, 274
158,Ghost Cat Anzu,fantasy,1h 37m,6.6, 1.1K
